created_at,entry_id,field1,field2,field3,field4,field5
2018-04-19 06:44:57 UTC,1,226.3823999999999,"0.001876318359375,0.002261767578125,0.003427734375000022","2.267175572519084,0.6641221374045801,0.0","5.8974609375,-27.1623046875,-23.6806640625",0.5329020277353513
2018-04-19 06:45:56 UTC,2,230.2623999999999,"0.001848876953125,0.001975146484375,0.004085449218750026","1.824427480916031,0.5419847328244275,-0.5114503816793893","5.71875,-28.06171875,-22.470703125",0.614370862910719
2018-04-19 06:46:58 UTC,3,218.7243999999999,"0.00181376953125,0.00217216796875,0.004040527343750032","1.801526717557252,0.9389312977099237,0.465648854961832","4.8251953125,-29.3208984375,-22.6435546875",0.582741785724988
2018-04-19 06:47:56 UTC,4,208.7815999999999,"0.002029931640625,0.002232910156250002,0.00356152343750002","1.931297709923664,0.5114503816793893,-0.04580152671755725","5.71875,-28.78125,-23.162109375",0.5065444634139089
2018-04-19 06:48:56 UTC,5,205.5211999999999,"0.001692431640625001,0.002223193359375002,0.003313964843750021","1.893129770992367,0.366412213740458,-0.2900763358778626","5.1826171875,-28.2416015625,-22.2978515625",0.4821038128612985
2018-04-19 06:49:56 UTC,6,209.8915999999999,"0.001948046875,0.002334814453125003,0.003765136718750024","2.045801526717557,0.6641221374045801,-0.01526717557251908","6.43359375,-28.78125,-21.087890625",0.3426483361787567
2018-04-19 06:50:57 UTC,7,206.6011999999998,"0.002016650390624999,0.002192480468750003,0.003853027343750028","2.068702290076336,0.3053435114503817,-0.2595419847328244","5.1826171875,-29.6806640625,-22.6435546875",0.2851409231137915
2018-04-19 06:51:59 UTC,8,216.9027999999999,"0.00177978515625,0.002462792968750003,0.003774902343750024","1.977099236641221,0.3358778625954199,-0.2213740458015267","4.4677734375,-29.3208984375,-21.9521484375",0.2002024740168376
2018-04-19 06:52:56 UTC,9,209.3103999999998,"0.002154638671875,0.002882470703125006,0.003691894531250024","1.984732824427481,0.4122137404580153,-0.0916030534351145","5.8974609375,-28.6013671875,-22.6435546875",0.2063174289394121
2018-04-19 06:53:56 UTC,10,220.0715999999999,"0.001964599609375,0.002564355468750005,0.00347216796875002","2.099236641221374,0.3893129770992366,0.03816793893129771","5.00390625,-28.421484375,-24.19921875",0.1410465151106761
2018-04-19 06:54:56 UTC,11,226.0843999999999,"0.003962060546874999,0.004233837890625002,0.007199218750000016","1.977099236641221,0.4274809160305344,-0.3587786259541985","4.4677734375,-27.5220703125,-22.6435546875",0.1329379698685151
2018-04-19 06:55:56 UTC,12,203.5207999999999,"0.002078955078125,0.002842724609375006,0.00381152343750002","1.770992366412214,0.6641221374045801,0.0916030534351145","3.7529296875,-28.6013671875,-21.9521484375",0.1187911462545339
2018-04-19 06:56:56 UTC,13,210.6615999999998,"0.00198505859375,0.003393798828125008,0.003773925781250016","1.793893129770992,0.8549618320610687,-0.1221374045801527","5.8974609375,-27.5220703125,-22.6435546875",0.08407583790098258
2018-04-19 06:57:56 UTC,14,214.5423999999999,"0.00179482421875,0.002951171875000005,0.003542968750000024","1.870229007633588,0.4885496183206107,-0.183206106870229","4.8251953125,-27.1623046875,-21.6064453125",0.08574355287986394
2018-04-19 06:59:03 UTC,15,206.7711999999998,"0.001981494140625,0.003587402343750008,0.003629882812500029","2.282442748091603,0.5496183206106871,-0.1145038167938931","5.361328125,-28.06171875,-21.087890625",0.09059334471500801
2018-04-19 06:59:57 UTC,16,214.6811999999998,"0.002996533203125,0.004555224609375008,0.003873535156250023","1.83969465648855,1.137404580152672,0.3282442748091603","4.8251953125,-28.6013671875,-22.6435546875",0.07903435468895138
2018-04-19 07:01:23 UTC,17,200.1615999999999,"0.0026955078125,0.003627099609375006,0.004889648437500016","2.603053435114504,0.1450381679389313,-0.6412213740458014","6.6123046875,-27.5220703125,-22.2978515625",0.08976907179441266
2018-04-19 07:01:56 UTC,18,212.3203999999999,"0.002472558593750001,0.004384326171875008,0.004928710937500012","2.358778625954198,-0.0916030534351145,-1.175572519083969","5.8974609375,-28.2416015625,-22.9892578125",0.09469554018031099
2018-04-19 07:02:56 UTC,19,204.0919999999999,"0.002885205078124999,0.003988134765625009,0.004708007812500021","2.49618320610687,-0.3129770992366412,-0.3511450381679389","4.4677734375,-28.6013671875,-23.3349609375",0.08618444304669627
2018-04-19 07:03:55 UTC,20,215.7803999999998,"0.002931201171875,0.004260791015625006,0.005639160156250016","2.183206106870229,0.6106870229007634,-0.2366412213740458","5.8974609375,-27.5220703125,-21.6064453125",0.08568604546680035
2018-04-19 07:04:57 UTC,21,203.1207999999999,"0.002818310546875,0.004143994140625007,0.005539062500000012","1.809160305343512,1.175572519083969,0.267175572519084","6.076171875,-28.06171875,-23.5078125",0.07305358373019473
2018-04-19 07:06:26 UTC,22,198.0911999999998,"0.0033498046875,0.003850683593750007,0.004509277343750027","2.282442748091603,-0.366412213740458,-1.137404580152672","5.361328125,-28.421484375,-23.162109375",0.08681702459041002
2018-04-19 07:07:36 UTC,23,211.7343999999999,"0.005039648437499999,0.004759228515625008,0.004958007812500025","1.923664122137405,-0.2442748091603054,-0.8854961832061068","4.1103515625,-28.6013671875,-22.6435546875",0.07410788630305296
2018-04-19 07:08:26 UTC,24,209.8647999999999,"0.003204443359375,0.004537011718750007,0.004924804687500019","1.870229007633588,0.4809160305343512,0.0","4.4677734375,-28.6013671875,-22.6435546875",0.1148231347530434
2018-04-19 07:09:23 UTC,25,215.3727999999999,"0.002545263671875,0.004477099609375009,0.004336914062500021","2.114503816793893,0.2977099236641221,-0.8396946564885496","6.076171875,-27.701953125,-22.81640625",0.08062539311708123
2018-04-19 07:10:07 UTC,26,237.4584,"0.013060986328125,0.01565019531250001,0.03962207031250001","5.053435114503817,-5.053435114503817,-3.274809160305344","5.71875,-27.701953125,-22.125",0.1091299008596187
2018-04-19 07:11:26 UTC,27,238.8451999999999,"0.01413984375,0.01504516601562501,0.03923486328125001","-0.02290076335877862,2.061068702290076,3.183206106870229","5.8974609375,-28.9611328125,-22.9892578125",0.1094557762003209
2018-04-19 07:12:06 UTC,28,216.6235999999999,"0.01479135742187501,0.016680810546875,0.0412548828125","-0.1450381679389313,7.053435114503817,5.946564885496183","5.5400390625,-27.8818359375,-21.9521484375",0.1101075268817226
2018-04-19 07:12:59 UTC,29,243.7955999999999,"0.0147607421875,0.01904135742187501,0.03614404296875001","1.16030534351145,6.633587786259542,2.824427480916031","6.076171875,-29.50078125,-22.125",0.1130404049480373
2018-04-19 07:14:17 UTC,30,254.9572,"0.01621113281249999,0.01694345703125,0.0378876953125","1.816793893129771,4.694656488549619,3.030534351145038","5.71875,-26.982421875,-20.7421875",0.08685536286578582
2018-04-19 07:15:34 UTC,31,232.9463999999999,"0.01475810546875,0.01511347656250001,0.03848828125","4.923664122137405,-6.32824427480916,-2.396946564885496","4.646484375,-29.860546875,-22.125",0.07579477041962502
2018-04-19 07:16:17 UTC,32,244.1563999999999,"0.016785986328125,0.01601669921875,0.04122753906249999","3.992366412213741,-4.534351145038168,-2.50381679389313","4.4677734375,-28.9611328125,-21.9521484375",0.08934735076526547
2018-04-19 07:17:11 UTC,33,222.8175999999999,"0.015112109375,0.01785512695312501,0.04071240234375001","2.114503816793893,-6.610687022900763,-5.931297709923665","5.1826171875,-28.2416015625,-21.9521484375",0.09762841824662015
